iter	Passed	Remaining
0	171	170892
1	182	90988
2	195	64840
3	206	51521
4	217	43299
5	228	37864
6	240	34102
7	255	31649
8	267	29403
9	278	27523
10	288	25950
11	301	24820
12	312	23762
13	325	22937
14	336	22115
15	349	21518
16	360	20860
17	373	20363
18	385	19882
19	395	19388
20	409	19074
21	432	19242
22	445	18910
23	456	18563
24	467	18248
25	482	18088
26	497	17933
27	513	17812
28	527	17668
29	540	17480
30	555	17368
31	581	17590
32	600	17599
33	620	17642
34	635	17525
35	652	17461
36	664	17293
37	676	17132
38	690	17020
39	703	16874
40	715	16737
41	726	16574
42	740	16470
43	750	16315
44	763	16205
45	774	16062
46	783	15895
47	796	15798
48	808	15693
49	822	15630
50	847	15767
51	861	15708
52	879	15711
53	896	15700
54	912	15681
55	932	15717
56	948	15687
57	962	15630
58	977	15591
59	1001	15696
60	1016	15643
61	1033	15632
62	1063	15811
63	1083	15852
64	1107	15925
65	1121	15876
66	1154	16077
67	1167	16004
68	1183	15974
69	1204	16006
70	1221	15976
71	1238	15961
72	1250	15883
73	1265	15834
74	1278	15771
75	1289	15676
76	1302	15610
77	1313	15523
78	1325	15455
79	1337	15376
80	1347	15283
81	1359	15221
82	1371	15152
83	1399	15257
84	1428	15381
85	1446	15368
86	1474	15474
87	1489	15441
88	1518	15541
89	1548	15661
90	1570	15691
91	1589	15686
92	1606	15664
93	1623	15645
94	1641	15639
95	1663	15662
96	1685	15690
97	1704	15686
98	1736	15803
99	1769	15922
100	1790	15941
101	1812	15952
102	1836	15991
103	1861	16035
104	1886	16076
105	1904	16063
106	1926	16074
107	1944	16060
108	1960	16022
109	1988	16089
110	2005	16063
111	2025	16061
112	2040	16020
113	2052	15949
114	2063	15879
115	2074	15810
116	2087	15751
117	2102	15711
118	2112	15638
119	2126	15596
120	2138	15536
121	2154	15502
122	2169	15472
123	2190	15475
124	2207	15452
125	2225	15438
126	2244	15429
127	2259	15396
128	2274	15359
129	2290	15331
130	2306	15297
131	2322	15271
132	2339	15252
133	2358	15240
134	2378	15239
135	2399	15242
136	2417	15230
137	2438	15232
138	2456	15217
139	2477	15219
140	2498	15223
141	2517	15210
142	2538	15213
143	2557	15200
144	2578	15201
145	2594	15175
146	2616	15182
147	2634	15164
148	2656	15171
149	2675	15159
150	2703	15201
151	2733	15249
152	2757	15265
153	2775	15246
154	2798	15253
155	2832	15325
156	2852	15314
157	2866	15275
158	2890	15291
159	2918	15322
160	2937	15307
161	2959	15311
162	2976	15282
163	2990	15244
164	3005	15207
165	3020	15175
166	3037	15149
167	3055	15133
168	3071	15102
169	3086	15067
170	3100	15033
171	3116	15002
172	3139	15008
173	3161	15009
174	3183	15009
175	3202	14992
176	3222	14985
177	3238	14955
178	3268	14990
179	3282	14953
180	3299	14928
181	3316	14904
182	3328	14862
183	3345	14835
184	3360	14804
185	3390	14836
186	3429	14909
187	3447	14891
188	3466	14874
189	3487	14867
190	3513	14880
191	3534	14873
192	3551	14848
193	3569	14831
194	3602	14870
195	3619	14846
196	3636	14824
197	3657	14814
198	3689	14849
199	3719	14878
200	3739	14864
201	3763	14869
202	3803	14933
203	3827	14935
204	3852	14939
205	3870	14918
206	3892	14910
207	3914	14906
208	3940	14913
209	3971	14941
210	3999	14957
211	4026	14964
212	4047	14953
213	4065	14933
214	4079	14896
215	4101	14885
216	4124	14881
217	4144	14867
218	4164	14850
219	4183	14831
220	4196	14792
221	4213	14765
222	4229	14737
223	4245	14706
224	4258	14669
225	4275	14641
226	4288	14604
227	4301	14565
228	4316	14533
229	4328	14489
230	4339	14446
231	4351	14405
232	4363	14365
233	4375	14323
234	4385	14276
235	4397	14237
236	4408	14193
237	4420	14153
238	4431	14111
239	4445	14077
240	4456	14036
241	4468	13996
242	4481	13960
243	4492	13920
244	4503	13877
245	4518	13848
246	4535	13825
247	4547	13788
248	4559	13753
249	4571	13715
250	4586	13687
251	4598	13650
252	4609	13608
253	4619	13568
254	4630	13529
255	4640	13485
256	4651	13447
257	4663	13413
258	4677	13381
259	4688	13344
260	4698	13304
261	4710	13269
262	4723	13235
263	4735	13202
264	4747	13168
265	4758	13129
266	4771	13099
267	4782	13063
268	4794	13028
269	4805	12991
270	4816	12957
271	4829	12926
272	4841	12892
273	4851	12854
274	4862	12820
275	4874	12785
276	4885	12752
277	4896	12716
278	4906	12680
279	4926	12668
280	4938	12636
281	4948	12600
282	4961	12570
283	4971	12534
284	4983	12501
285	4995	12470
286	5005	12434
287	5015	12399
288	5026	12366
289	5037	12333
290	5048	12299
291	5062	12273
292	5072	12240
293	5084	12209
294	5094	12175
295	5107	12146
296	5121	12123
297	5134	12094
